processing,quantity,backend,reference,distance_km,component,unit,time_start_s,time_end_s,dt_s,samples_per_component,relative_l2_percent,paper_energy_misfit,correlation_pearson_no_shift,peak_abs,reference_peak_abs,peak_ratio,max_abs_difference,rms_difference
lowpass_0p4Hz,disp,qseis06,spgrn2020,300.0,all_components,m,0.0,400.0,0.25,1601,22.81648953427023,0.052059219466746284,0.9824337774251686,5.546374756887784e-05,8.001770173979601e-05,0.6931434715437909,2.4553954170918167e-05,9.914924413916225e-07
lowpass_0p4Hz,disp,qseis06,spgrn2020,600.0,East,m,0.0,400.0,0.25,1601,19.676779274572926,0.03871756426202626,0.9864880775093252,5.269397466872726e-06,4.986209872917369e-06,1.05679415852379,1.572629718718592e-06,1.6175604869876504e-07
lowpass_0p4Hz,disp,qseis06,spgrn2020,600.0,North,m,0.0,400.0,0.25,1601,16.99541822919333,0.028884424078519693,0.9939400517132251,1.0902945822837829e-05,1.3061933030954519e-05,0.8347115083961719,3.0311798609656e-06,3.0831935080686227e-07
lowpass_0p4Hz,disp,qseis06,spgrn2020,600.0,Up,m,0.0,400.0,0.25,1601,23.158888843988002,0.053633413248819185,0.9831802130197814,3.0496666943211037e-05,4.296787072845295e-05,0.7097551362491976,1.367319412916836e-05,1.0461467308168715e-06
lowpass_0p4Hz,disp,qseis06,spgrn2020,600.0,all_components,m,0.0,400.0,0.25,1601,22.33336428535495,0.0498779160302368,0.984697451160049,3.0496666943211037e-05,4.296787072845295e-05,0.7097551362491976,1.367319412916836e-05,6.365660017551021e-07
lowpass_0p4Hz,disp,qseis06,spgrn2020,900.0,East,m,0.0,400.0,0.25,1601,19.546020685602574,0.03820469246420037,0.9873175217115162,4.033648027726849e-06,4.483947919810008e-06,0.8995751288515771,1.195628378603905e-06,1.2337795265255238e-07
lowpass_0p4Hz,disp,qseis06,spgrn2020,900.0,North,m,0.0,400.0,0.25,1601,17.810556068089173,0.0317215907454548,0.9918754698259324,8.412786488774184e-06,9.250087552363776e-06,0.9094818228638683,2.198221739223851e-06,2.47761033056222e-07
lowpass_0p4Hz,disp,qseis06,spgrn2020,900.0,Up,m,0.0,400.0,0.25,1601,23.597103664526138,0.055682330135439294,0.9814530874640499,2.284284261647252e-05,2.739820520051419e-05,0.8337350001321919,9.315343123806e-06,7.899183718548613e-07
lowpass_0p4Hz,disp,qseis06,spgrn2020,900.0,all_components,m,0.0,400.0,0.25,1601,22.747177199535226,0.05174340705470552,0.983095844546027,2.284284261647252e-05,2.739820520051419e-05,0.8337350001321919,9.315343123806e-06,4.832455148595645e-07
lowpass_0p4Hz,disp,qseis2025,spgrn2020,300.0,East,m,0.0,400.0,0.25,1601,2.681044520540842,0.0007187999721122072,0.9996544715223593,1.9541087713713064e-05,1.957598105537681e-05,0.9982175431430467,4.340600578089991e-07,4.197161357110067e-08
lowpass_0p4Hz,disp,qseis2025,spgrn2020,300.0,North,m,0.0,400.0,0.25,1601,3.3591871560832125,0.001128413834959442,0.9994982216729865,3.097105198332102e-05,3.0755381329297416e-05,1.0070124526083557,1.2030126226925735e-06,9.392324273203404e-08
lowpass_0p4Hz,disp,qseis2025,spgrn2020,300.0,Up,m,0.0,400.0,0.25,1601,3.6039765212253827,0.0012988646765543811,0.9993732310551962,7.985854227207014e-05,8.001770173979601e-05,0.9980109467747095,3.061148749961938e-06,2.454460815828971e-07
